codigo,produto,unidade_medida,estoque_minimo,validade_dias
TEM-025,CHIMICHURRI S. PIMENTA DEFUMADO,g,1000,
PO-033,ACUCAR ERITRITOL,g,1000,
TEM-026,ERVAS FINAS,g,1000,
TEM-027,TEMP PEGA ESPOSA,g,1000,
PO-034,ACUCAR MASCAVO,g,1000,
GRA-024,ALPISTE CANADENSE,g,1000,
GRA-025,ARGOLINHAS COL CEREAL,g,1000,
GRA-026,BISCOITO DE ARROZ CEBOLA E SALSA,g,1000,
PO-035,FUMACA EM PO,g,1000,
GRA-027,GERGELIM BRANCO S. PELE,g,1000,
PO-036,GINSENG EM PO,g,1000,
GRA-028,LINHACA MARROM,g,1000,
SAL-003,SAL DE PARRILHA C. CHIM S. PIMENTA,g,1000,
TEM-028,TEMPERO BAIANO,g,1000,
PO-037,ACUCAR XYLITOL,g,1000,
TEM-029,TEMP DO CHEFF COM PAPRICA,g,1000,
GRA-029,FENO GREGO,g,1000,
TEM-030,TEMP ANA MARIA,g,1000,
GRA-030,GERGELIM BRANCO C. PELE,g,1000,
GRA-031,PROTEINA DE SOJA,g,1000,
ERV-023,TOMILHO,g,1000,
ERV-024,FLOR DE CAMOMILA,g,1000,
GRA-032,FARINHA DE AMENDOIM,g,1000,
GRA-033,CRAVINHO,g,1000,
GRA-034,GRANOLA C. FRUTAS VERMELHAS,g,1000,
SAB-060,SAB 7 ERVAS BARRA,un,10,
SAB-061,SAB ARG AMARELA BARRA,un,10,
SAB-062,SAB BANHA DE TARTARUGA BARRA,un,10,
OLE-002,OLEO DE COPAIBA 1LT,un,10,
OLE-003,OLEO DE COPAIBA 500ML,un,10,
OLE-004,OLEO DE COPAIBA 200ML,un,10,
